SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Raphi Azizan,-,19,Right-Back,Defenders,100.0,https://www.transfermarkt.com/raphi-azizan/profil/spieler/243427,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Rizal Ghazali,15,23,Right-Back,Defenders,101.0,https://www.transfermarkt.com/rizal-ghazali/profil/spieler/474219,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Loqman Hakim,32,17,Right-Back,Midfielders,102.0,https://www.transfermarkt.com/loqman-hakim/profil/spieler/548395,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Baddrol Bakhtiar,7,27,Central Midfield,Midfielders,103.0,https://www.transfermarkt.com/baddrol-bakhtiar/profil/spieler/69295,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Akram Mahinan,12,22,Central Midfield,Midfielders,104.0,https://www.transfermarkt.com/akram-mahinan/profil/spieler/227209,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Amirul Hisyam,16,20,Central Midfield,Midfielders,105.0,https://www.transfermarkt.com/amirul-hisyam/profil/spieler/440497,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Halim Saari,18,21,Central Midfield,Midfielders,106.0,https://www.transfermarkt.com/halim-saari/profil/spieler/483397,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Muhammad Hanif Mat Dzahir,23,21,Central Midfield,Midfielders,107.0,https://www.transfermarkt.com/muhammad-hanif-mat-dzahir/profil/spieler/259924,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Zulfahamzie Mohd Tarmizi,38,19,Central Midfield,Midfielders,108.0,https://www.transfermarkt.com/zulfahamzie-mohd-tarmizi/profil/spieler/548396,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Ken Ilsö,9,29,Attacking Midfield,Midfielders,750000.0,https://www.transfermarkt.com/ken-ilso/profil/spieler/34783,Denmark
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Liridon Krasniqi,8,23,Attacking Midfield,Midfielders,400000.0,https://www.transfermarkt.com/liridon-krasniqi/profil/spieler/93541,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Farhan Roslan,19,19,Left Winger,Midfielders,111.0,https://www.transfermarkt.com/farhan-roslan/profil/spieler/483396,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Syazwan Zainon,22,26,Left Winger,Midfielders,112.0,https://www.transfermarkt.com/syazwan-zainon/profil/spieler/474572,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Akhyar Rashid,33,16,Left Winger,Midfielders,113.0,https://www.transfermarkt.com/akhyar-rashid/profil/spieler/493251,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Hidhir Idris,35,18,Left Winger,Midfielders,114.0,https://www.transfermarkt.com/hidhir-idris/profil/spieler/548394,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Ahmad Fakri Saarani,-,26,Right Winger,Forwards,115.0,https://www.transfermarkt.com/ahmad-fakri-saarani/profil/spieler/190994,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Sandro Mendonça,10,32,Second Striker,Forwards,425000.0,https://www.transfermarkt.com/sandro-mendonca/profil/spieler/37429,Brazil
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Syazuan Hazani,-,21,Striker,Forwards,117.0,https://www.transfermarkt.com/syazuan-hazani/profil/spieler/483399,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Syafiq Ahmad,20,20,Centre-Forward,Forwards,118.0,https://www.transfermarkt.com/syafiq-ahmad/profil/spieler/483398,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Akmal Azmi,34,17,Centre-Forward,Forwards,119.0,https://www.transfermarkt.com/akmal-azmi/profil/spieler/524946,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Aminuddin Abu Bakar,36,17,Centre-Forward,Forwards,120.0,https://www.transfermarkt.com/aminuddin-abu-bakar/profil/spieler/548397,Malaysia
2016,Selangor FC,Selangor FC,Damien Lim,-,18,Goalkeeper,Goalkeeper,121.0,https://www.transfermarkt.com/damien-lim/profil/spieler/483671,Malaysia
2016,Selangor FC,Selangor FC,Khairulazhan Khalid,1,26,Goalkeeper,Goalkeeper,122.0,https://www.transfermarkt.com/khairulazhan-khalid/profil/spieler/315547,Malaysia
2016,Selangor FC,Selangor FC,Norazlan Razali,21,30,Goalkeeper,Goalkeeper,123.0,https://www.transfermarkt.com/norazlan-razali/profil/spieler/263255,Malaysia
2016,Selangor FC,Selangor FC,Zarif Irfan,22,20,Goalkeeper,Defenders,124.0,https://www.transfermarkt.com/zarif-irfan/profil/spieler/483670,Malaysia
2016,Selangor FC,Selangor FC,Ugo Ukah,-,31,Centre-Back,Defenders,400000.0,https://www.transfermarkt.com/ugo-ukah/profil/spieler/33222,Nigeria
2016,Selangor FC,Selangor FC,Amir Asyraf Azhari,-,17,Centre-Back,Defenders,126.0,https://www.transfermarkt.com/amir-asyraf-azhari/profil/spieler/483673,Malaysia
2016,Selangor FC,Selangor FC,Willian Pacheco,-,23,Centre-Back,Defenders,127.0,https://www.transfermarkt.com/willian-pacheco/profil/spieler/186304,Brazil
2016,Selangor FC,Selangor FC,Adam Nor Azlin,-,19,Centre-Back,Defenders,128.0,https://www.transfermarkt.com/adam-nor-azlin/profil/spieler/483683,Malaysia
2016,Selangor FC,Selangor FC,Amirul Ashraf,6,17,Centre-Back,Defenders,129.0,https://www.transfermarkt.com/amirul-ashraf/profil/spieler/548427,Malaysia
2016,Selangor FC,Selangor FC,Bunyamin Umar,12,27,Centre-Back,Defenders,130.0,https://www.transfermarkt.com/bunyamin-umar/profil/spieler/228936,Malaysia
2016,Selangor FC,Selangor FC,Razman Roslan,13,31,Centre-Back,Defenders,131.0,https://www.transfermarkt.com/razman-roslan/profil/spieler/299364,Malaysia
2016,Selangor FC,Selangor FC,Rizal Fahmi Rosid,17,29,Centre-Back,Defenders,132.0,https://www.transfermarkt.com/rizal-fahmi-rosid/profil/spieler/210516,Malaysia
