Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Kelantan FC,Shahrizan Ismail,-,35,Goalkeeper,Goalkeeper,Malaysia,227.0
Kelantan FC,Ramadhan Hamid,1,21,Goalkeeper,Goalkeeper,Malaysia,228.0
Kelantan FC,Khairul Fahmi,19,26,Goalkeeper,Goalkeeper,Malaysia,229.0
Kelantan FC,Syihan Hazmi,33,19,Goalkeeper,Goalkeeper,Malaysia,230.0
Kelantan FC,Futty Danso,-,32,Centre-Back,Defenders,The Gambia,150000.0
Kelantan FC,Norhafiz Zamani Misbah,-,34,Centre-Back,Defenders,Malaysia,75000.0
Kelantan FC,Cássio,-,26,Centre-Back,Defenders,Brazil,233.0
Kelantan FC,Hasmizan Kamarodin,-,31,Centre-Back,Defenders,Malaysia,234.0
Kelantan FC,Sooryapparad Subramaniam,-,30,Centre-Back,Defenders,Malaysia,235.0
Kelantan FC,Nik Shahrul Azim Abdul Halim,-,25,Centre-Back,Defenders,Malaysia,236.0
Kelantan FC,Nasharizam Abd. Rashid,-,20,Centre-Back,Defenders,Malaysia,237.0
Kelantan FC,Farisham Ismail,6,30,Centre-Back,Defenders,Malaysia,238.0
Kelantan FC,Faris Shah,25,20,Centre-Back,Defenders,Malaysia,239.0
Kelantan FC,Faizol Nazlin Sayuti,27,23,Centre-Back,Defenders,Malaysia,240.0
Kelantan FC,Zairul Fitree Ishak,-,30,Left-Back,Defenders,Malaysia,241.0
Kelantan FC,Aziz Ismail,-,27,Left-Back,Defenders,Malaysia,242.0
Kelantan FC,Qayyum Marjoni,-,21,Left-Back,Defenders,Malaysia,243.0
Kelantan FC,S.Veenod,-,27,Left-Back,Defenders,Malaysia,244.0
Kelantan FC,Tengku Qayyum,-,29,Left-Back,Defenders,Malaysia,245.0
Kelantan FC,Azwan Aripin,32,19,Left-Back,Defenders,Malaysia,246.0
Kelantan FC,Daudsu Jamaluddin,-,30,Right-Back,Defenders,Malaysia,247.0
Kelantan FC,Morgaro Gomis,21,30,Defensive Midfield,Midfielders,Senegal,600000.0
Kelantan FC,Fadhilah Pauzi,35,19,Defensive Midfield,Midfielders,Malaysia,249.0
Kelantan FC,Sukri Hamid,-,23,Central Midfield,Midfielders,Malaysia,250.0
Kelantan FC,Shahrul Hakim,-,20,Central Midfield,Midfielders,Malaysia,251.0
Kelantan FC,Rozaimi Azwar Mat Noor,4,22,Central Midfield,Midfielders,Malaysia,252.0
Kelantan FC,Badhri Radzi,16,33,Central Midfield,Midfielders,Malaysia,253.0
Kelantan FC,S. Thinagaran,-,29,Right Midfield,Midfielders,Malaysia,254.0
Kelantan FC,Amir Zikri Pauzi,-,21,Left Midfield,Midfielders,Malaysia,255.0
Kelantan FC,Nik Akif,37,16,Attacking Midfield,Midfielders,Malaysia,256.0
Kelantan FC,Indra Putra Mahayuddin,-,34,Left Winger,Midfielders,Malaysia,257.0
Kelantan FC,Hattaphon Bun An,-,24,Left Winger,Midfielders,Malaysia,258.0
Kelantan FC,Haikal Nazri,-,22,Left Winger,Midfielders,Malaysia,259.0
Kelantan FC,Dong-hyeon Do,10,22,Right Winger,Midfielders,"Korea, South",100000.0
Kelantan FC,Syafiq Abd. Rahman,-,20,Right Winger,Midfielders,Malaysia,261.0
Kelantan FC,Nor Farhan Muhammad,10,31,Right Winger,Midfielders,Malaysia,262.0
Kelantan FC,Abu Baker Al-Mel,9,23,Second Striker,Forwards,Lebanon,75000.0
Kelantan FC,Khairul Izuan Rosli,-,24,Second Striker,Forwards,Malaysia,264.0
Kelantan FC,Danial Ashraf Abdullah,34,18,Second Striker,Forwards,Malaysia,265.0
